qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q134756,Q22988604,Q6581097,,Q591842,Q27056217,,,,,
Q272000,Q22988604,Q6581072,,Q749966,Q440440,,Q13537244,,,
Q1183358,Q22988604,Q6581097,,Q176758,Q775296,,,,,
Q4157638,Q22988604,Q6581097,,,,,,,,
Q1475776,Q22988604,Q6581097,,Q1141300,Q1469456,,Q292588,,,
Q207715,Q22988604,Q6581097,,Q83160,Q836792,,Q15874488,,,
Q905162,Q22988604,Q6581072,,Q888557,,,,,,
Q208256,Q22988604,Q6581097,,Q250506,Q279566,,,,,
Q850192,Q22988604,Q6581072,,Q51078734,,,Q5280177,,Q242835,
Q3715347,Q22988604,Q6581097,,Q270117,,,,,,
Q193433,Q22988604,Q6581072,,Q17486774,Q7695796,,Q16280070,,,
Q130890,Q22988604,Q6581097,,Q463898,Q131445,,,,,
Q241971,Q22988604,Q6581097,,Q134270,Q1333108,,,,Q321541,
Q191725,Q22988604,Q6581097,,Q1076578,Q12757284,,,,,
Q164061,Q22988604,Q6581072,,Q34201,Q182019,,Q428212,,,
Q131651,Q22988604,Q6581072,,Q128176,Q131157,Q419115,Q217340,,,
Q272047,Q22988604,Q6581097,,Q381931,Q1722781,,,,,
Q82732,Q22988604,Q6581097,,Q211953,Q35500,,Q21547988,,,
Q847890,Q22988604,Q6581097,,Q40901,Q748963,,,,,
Q2075786,Q22988604,Q6581072,,Q1280725,Q381459,,,,,
Q104413,Q22988604,Q6581072,,Q34201,Q102884,,Q238304,,,
Q568768,Q22988604,Q6581072,,Q608800,,,,,,
Q644921,Q22988604,Q6581097,,Q44384,,,Q343298,,,
Q19776360,Q22988604,Q6581072,,,,,,,,
Q16641710,Q22988604,Q6581072,,Q500739,Q368994,,,,,
Q410082,Q22988604,Q6581097,,Q869665,Q1126715,,,,,
Q506550,Q22988604,Q6581097,,Q130890,Q131445,,,,,
Q159666,Q22988604,Q6581097,,Q170473,Q193433,Q537554,Q342314,,Q41746,
Q1352687,Q22988604,Q6581097,,Q4162118,,,,,,
Q16647668,Q22988604,Q6581097,,Q44634078,,,,,Q4016094,
Q956831,Q22988604,Q6581072,,Q1136201,Q2634102,,,,,
Q61014736,Q22988604,Q6581097,,Q37340,Q57843568,,,,,
Q212087,Q22988604,Q6581097,,Q1062299,Q11938698,,,,,
Q1378578,Q83203,Q6581097,,,,Q124357578,,,,
Q540468,Q83203,Q6581097,,,,,,,,
Q165170,Q22988604,Q6581072,Q46,Q392631,Q853437,Q11921267,Q741380,,,
Q104012,Q22988604,Q6581072,,Q34201,Q102884,,,,,
Q837699,Q22988604,Q6581097,,Q1150,Q12134676,,,,,
Q212818,Q22988604,Q6581072,,Q23168,Q203236,,Q5441136,,,
Q1235168,Q22988604,Q6581097,,,,,,,,
Q203480,Q22988604,Q6581097,,Q134270,Q836792,,Q3378668,,Q34201,
Q23034982,Q22988604,Q6581097,,,,,,,,
Q115449,Q22988604,Q6581072,,Q865111,Q1641282,,Q11698107,,,
Q212827,Q22988604,Q6581097,,Q10350754,Q42062010,,,,,
Q641065,Q22988604,Q6581097,,Q392631,Q853437,,Q395356,,,
Q22965548,Q22988604,Q6581097,,Q1805777,,Q30097019,,,,
Q743482,Q22988604,Q6581097,,Q143880,Q624551,,,,,
Q241070,Q22988604,Q6581072,,Q189527,Q726279,Q3757460,Q12094023,,,
Q131588,Q22988604,Q6581097,,Q599482,Q1361804,,,,,
Q86805,Q22988604,Q6581097,,Q320660,Q913161,,,,,
Q176758,Q22988604,Q6581097,,Q410082,Q21548505,,Q238333,,,
