entity,name,aka,description
http://www.wikidata.org/entity/Q1075258,Clori,,"personaggio della mitologia greca, moglie di Zefiro"
http://www.wikidata.org/entity/Q829669,Cloto,,una delle tre Parche nella mitologia classica
http://www.wikidata.org/entity/Q10546716,Cnossia,,Naiade della mitologia greca
http://www.wikidata.org/entity/Q6424214,Coalemo,,
http://www.wikidata.org/entity/Q3684005,Combe,,"ninfa della mitologia greca, figlia di Asopo e madre dei Coribanti"
http://www.wikidata.org/entity/Q1780711,Como,Komos,divinità greca
http://www.wikidata.org/entity/Q520551,Coricia,,"ninfa della mitologia greca, amata da Apollo"
http://www.wikidata.org/entity/Q12963007,Corimbo,,semidio greco del frutto dell'edera
http://www.wikidata.org/entity/Q5173416,Coro,,divinità greca del disdegno
http://www.wikidata.org/entity/Q10854746,Coronide,,Iade della mitologia greca
http://www.wikidata.org/entity/Q2709208,Coti,"Kotyto, Cotys",divinità greca dell'impudicizia
http://www.wikidata.org/entity/Q3318918,Cotto,,uno degli Ecatonchiri nella mitologia greca
http://www.wikidata.org/entity/Q12754169,Crania,,
http://www.wikidata.org/entity/Q12725881,Crateide,,
http://www.wikidata.org/entity/Q334447,Cratos,,dio greco del potere
http://www.wikidata.org/entity/Q10451485,Cremete,,divinità fluviale della mitologia greca
http://www.wikidata.org/entity/Q1232622,Creusa,,"Naiade della mitologia greca, moglie di Peneo"
http://www.wikidata.org/entity/Q631865,Crimiso,Krimisos,
http://www.wikidata.org/entity/Q192136,Crio,,titano della mitologia greca
http://www.wikidata.org/entity/Q1088464,Crisa,,divinità fluviale greca
http://www.wikidata.org/entity/Q57424690,Criseide,,Oceanina nella mitologia greca
http://www.wikidata.org/entity/Q5115016,Criso,,daimon dell'oro nella mitologia greca
http://www.wikidata.org/entity/Q3697327,Crisopelea,,amadriade della mitologia greca
http://www.wikidata.org/entity/Q44204,Crono,Kronos,"titano della mitologia greca, padre delle divinità olimpiche"
http://www.wikidata.org/entity/Q625051,Croto,,"Satiro, figlio di Pan"
http://www.wikidata.org/entity/Q12661559,Ctesio,,daimon della mitologia greca
http://www.wikidata.org/entity/Q194015,Dafne,Apollo e Dafne,"naiade della mitologia greca, amata da Apollo"
http://www.wikidata.org/entity/Q12750699,Dafni,,Oreade della mitologia greca
http://www.wikidata.org/entity/Q4154083,Daira,Deira (Oceanina),
http://www.wikidata.org/entity/Q3012621,Damasene,,gigante della mitologia greca
http://www.wikidata.org/entity/Q1158425,Damia,,divinità greca della fertilità
http://www.wikidata.org/entity/Q901487,Damiso,,Gigante della mitologia greca
http://www.wikidata.org/entity/Q16555158,Damone,,uno dei Telchini nella mitologia greca
http://www.wikidata.org/entity/Q10466497,Danaide,,"ninfa della mitologia greca, madre di Crisippo secondo lo Pseudo-Plutarco"
http://www.wikidata.org/entity/Q17461398,Daulide,,Naiade della mitologia greca
http://www.wikidata.org/entity/Q106240,Deimos,,divinità greca del terrore
http://www.wikidata.org/entity/Q126908026,Deiopeia,,
http://www.wikidata.org/entity/Q40730,Demetra,Demeter,"dea greca dell'agricoltura, fertilità, natura, grano, dei raccolti e delle messi. Figlia di Crono e Rea"
http://www.wikidata.org/entity/Q79104156,Demetra Eleusinia,,
http://www.wikidata.org/entity/Q59435174,Demogorgone,,
http://www.wikidata.org/entity/Q4157689,Demos,,"divinità greca, personificazione del popolo"
http://www.wikidata.org/entity/Q1146978,Despena,,
http://www.wikidata.org/entity/Q4157003,Dexitea,,"personaggio della mitologia greca, figlia di Damone"
http://www.wikidata.org/entity/Q1225261,Diceosine,,divinità greca
http://www.wikidata.org/entity/Q465875,Diche,Dike,divinità della mitologia greca
http://www.wikidata.org/entity/Q5805670,Dictinna,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q199923,Dione,,"divinità della religione greca, madre di Afrodite"
http://www.wikidata.org/entity/Q1226931,Dione,,"Personaggio della mitologia greca, ninfa figlia di Atlante"
http://www.wikidata.org/entity/Q41680,Dioniso,"Dïòniso, Dionisiaco, Dionisio","dio greco del vino, della vendemmia, dei teatri, della fertilità e dell'ubriachezza"
http://www.wikidata.org/entity/Q1138207,Disnomia,,Dei greci
http://www.wikidata.org/entity/Q5319563,Dissebia,,daimon della mitologia greca
http://www.wikidata.org/entity/Q60180178,Dodone,,Oceanina nella mitologia greca
http://www.wikidata.org/entity/Q1236399,Dolos,,"personificazione di trucchi, inganni, astuzie e artifici nella mitologia greca"
http://www.wikidata.org/entity/Q726279,Doride,Dori,"oceanina della mitologia greca, moglie di Nereo e madre delle Nereidi"
http://www.wikidata.org/entity/Q910403,Driope,Dorippa,personaggio della mitologia classica
http://www.wikidata.org/entity/Q5308511,Drosera,,naiade della mitologia greca
http://www.wikidata.org/entity/Q131125,Ebe,,"dea greca della gioventù e del perdono, moglie di Eracle"
http://www.wikidata.org/entity/Q12347561,Ebro,,"Oceanina della mitologia greca, madre di Rodope e Aba"
http://www.wikidata.org/entity/Q131575,Ecate,Hekate,dea della mitologia greca
http://www.wikidata.org/entity/Q134543170,Ecate caldea,,
http://www.wikidata.org/entity/Q1280292,Echemea,,
http://www.wikidata.org/entity/Q13407380,Echenaide,,"ninfa della mitologia greca, innamorata di Dafni figlio di Hermes"
http://www.wikidata.org/entity/Q185670,Echidna,,personaggio della mitologia greca
http://www.wikidata.org/entity/Q1280704,Echione,,gigante della mitologia greca
http://www.wikidata.org/entity/Q207368,Eco,,Oreade della mitologia greca
http://www.wikidata.org/entity/Q5697821,Edilogo,,
http://www.wikidata.org/entity/Q44384,Efesto,Hephaestus,"dio greco della metallurgia, della forgia, dei vulcani, del fuoco e della tecnologia"
http://www.wikidata.org/entity/Q1249106,Efialte,,"gigante della mitologia greca, figlio di Urano e Gaia"
http://www.wikidata.org/entity/Q5820239,Efidazia,,Naiade della mitologia greca
http://www.wikidata.org/entity/Q12751671,Efira,,Nereide della mitologia greca
http://www.wikidata.org/entity/Q12647129,Egeo,,divinità fluviale greca
http://www.wikidata.org/entity/Q404208,Egeone,,divinità della mitologia greca
http://www.wikidata.org/entity/Q321298,Egina,,"ninfa della mitologia greca, figlia di Asopo"
http://www.wikidata.org/entity/Q404396,Egle,,"personaggio della mitologia greca, figlia di Elio"
http://www.wikidata.org/entity/Q3586199,Egle,,"personaggio della mitologia greca, figlia di Asclepio"
http://www.wikidata.org/entity/Q26276980,Egle,,"personaggio della mitologia greca, Naiade"
http://www.wikidata.org/entity/Q214987,Eirene,Pace mitologia greca,divinità greca della pace
http://www.wikidata.org/entity/Q3562344,Elaide,Elais,"dea dell'olio della mitologia greca, una delle Enotrope"
http://www.wikidata.org/entity/Q364688,Eleo,Eleos,divinità greca
http://www.wikidata.org/entity/Q858663,Elettra,,"personaggio della mitologia greca, una delle sette Pleiadi"
http://www.wikidata.org/entity/Q1438693,Elettra,,ninfa oceanina della mitologia greca
http://www.wikidata.org/entity/Q5359493,Eleuteria,,personificazione della libertà
http://www.wikidata.org/entity/Q60318124,Eleutero,,
http://www.wikidata.org/entity/Q1602501,Elice,,
http://www.wikidata.org/entity/Q5893774,Elicone,,divinità greca del monte Elicona
http://www.wikidata.org/entity/Q12654001,Elisson,,divinità fluviale greca
http://www.wikidata.org/entity/Q638578,Elle,Atamantide,figura della mitologia greca
http://www.wikidata.org/entity/Q2633131,Elpis,"Elpìs, Elpìdos",
http://www.wikidata.org/entity/Q192107,Emera,,dea greca del giorno
